Product_Id,Product_Name,Category,Discounted_Price,Actual_Price,Discount_Percentage,Rating,Rating_Count,User_Name,Main_Division,Sub_Division,rating_score
B00J4YG0PC,"Classmate Long Notebook - 140 Pages, Single Line, 297mm x 210mm (Pack of 12)","OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",561.0,720.0,22,4.4,3182.0,"MOHD NASIM,Shab,Aniket Dhuri,Aryan Gupta,Archana,Ketul,Dr. Ramya Sampath,roshni kewat", Office  Products ,CompositionNotebooks,Above Average
B073BRXPZX,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",289.0,590.0,51,4.4,25886.0,"Harsha,TUSHAR BANSAL,Harmanpreet Singh Punj,Tushar garg,SD,nikhil chaudhari,Lakshmi S,saikat",Computers & Accessories,Mice,Above Average
B08LHTJTBB,"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,599.0,1999.0,70,4.4,4736.0,"Sharon Murmoo,Kuldeep Sadhu,Harshavardhan B Bhojakar,Jayakrishnan U,Aparna,VT,NAUTICAL,SAGAR",Computers & Accessories,NotebookComputerStands,Above Average
B07VTFN6HM,"Western Digital WD 2TB My Passport Portable Hard Disk Drive, USB 3.0 with  Automatic Backup, 256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows and Mac, External HDD-Black",Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,5599.0,7350.0,24,4.4,73005.0,"Dr. Mujtaba Ashraf,Gurukiran Maratha,Abhishek More,Neeraj Vishwakarma,Azarudeen,Kishan Patel,moulesh,Jamesbond",Computers & Accessories,ExternalHardDisks,Above Average
B008QS9J6Y,"Logitech C270 Digital HD Webcam with Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - (Black, HD 720p/30fps)",Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,1990.0,2595.0,23,4.3,20398.0,"Ariz Siddique,RAMKESH SHARMA,Mang singh,Vijay Gharpure,Manish Singh Chouhan,Rohan chavan,Abhay Satyarthi,Jayakrishna Shenoy",Computers & Accessories,Webcams,Above Average
B09M8888DM,Portronics MPORT 31 4 Ports USB Hub (USB A to 4 USB-A Ports 4 in 1 Connector USB HUB(Grey),Computers&Accessories|Accessories&Peripherals|USBHubs,499.0,799.0,38,4.3,2125.0,"Aniket Raj,SA,Anonymous,Gaurav,Amit Agarwal,RM,SUNIL A.,Chittaranjan Padave",Computers & Accessories,USBHubs,Above Average
B07Z1YVP72,"AirCase Protective Laptop Bag Sleeve fits Upto 15.6"" Laptop/ MacBook, Wrinkle Free, Padded, Waterproof Light Neoprene case Cover Pouch, for Men & Women, Black- 6 Months Warranty",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,449.0,999.0,55,4.3,11330.0,"Kalpesh Panchal,Raviranjan Kumar,karthik chokkalingam,Maryam,Amazon Customer,Ameya,SOLANKI LAKHMANBHAI NAJABHAI,Pinaki",Computers & Accessories,LaptopSleeves&Slipcases,Above Average
B082FTPRSK,Zinq Five Fan Cooling Pad and Laptop Stand with Dual Height Adjustment and Dual USB Port Extension (Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,999.0,1999.0,50,4.2,27441.0,"Abraham M.,Varun,Sandeep J,B HYNDAVI,Charan Teja,Bhuvanesh Sekar,Jubin kakati,Placeholder",Computers & Accessories,CoolingPads,Above Average
B09RF2QXGX,"Gizga Essentials Webcam Cover, Privacy Protector Webcam Cover Slide, Compatible with Laptop, Desktop, PC, Smartphone, Protect Your Privacy and Security, Strong Adhesive, Set of 3, Black",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,69.0,299.0,77,4.3,255.0,"Jrs,Jayakrishna Shenoy,SNR,ank_bangalore,GSN,Debabrata Das,Shubham sable,Durgesh Rathore",Computers & Accessories,CameraPrivacyCovers,Above Average
B01KK0HU3Y,HP Z3700 Wireless Optical Mouse with USB Receiver and 2.4GHz Wireless Connection/ 1200DPI / 16 Months Long Battery Life /Ambidextrous and Slim Design (Modern Gold),"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",899.0,1499.0,40,4.2,23174.0,"Ayan Chakraborty,Amazon Customer,DeepSea,Rahul Raj,Nitin Swarup,Arun Kumar Nayak,Khan Saab!,Amazon Customer",Computers & Accessories,Mice,Above Average
B07JF9B592,MAONO AU-400 Lavalier Auxiliary Omnidirectional Microphone (Black),MusicalInstruments|Microphones|Condenser,478.0,699.0,32,3.8,20218.0,"ˢᴰ82ˢᶜ ✔️,Manish Rautela,Sai kiran,Dinesh S,Uttam,Shahrukh,ADITYA UBARHANDE,Deepak Kanwaliya",Musical Instruments ,Condenser,Average
B086394NY5,TABLE MAGIC Multipurpose Laptop Table Mat Finish Top Work at Home Study Table (TM Regular- Black) (Alloy Steel),Computers&Accessories|Accessories&Peripherals|LaptopAccessories,1399.0,2490.0,44,4.3,11074.0,"Parul Walkey,Kirthivasan,Ashok.,Deepika,kavan,Mohan,Saikumar,Hari C.",Computers & Accessories,LaptopAccessories,Above Average
B017PDR9N0,"GIZGA Essentials Portable Tabletop Tablet Stand Mobile Holder, Desktop Stand, Cradle, Dock for iPad, Smartphone, Kindle, E-Reader, Fully Foldable, Adjustable Angle, Anti-Slip Pads, Black",Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,149.0,499.0,70,4.1,25607.0,"Atul Modi,Akash gahlot,RAHUL RAMAN,Drashty N.,Dr. Gilbert Ignat,Soumitra Deb,Mohan,Mathivanan",Computers & Accessories,Stands,Above Average
B07NC12T2R,"boAt Stone 650 10W Bluetooth Speaker with Upto 7 Hours Playback, IPX5 and Integrated Controls (Blue)",Electronics|HomeAudio|Speakers|BluetoothSpeakers,1799.0,4990.0,64,4.2,41226.0,"VSMS,karthik,Latheesh Reddy,Mayank g.,Sachin Kushwaha,Rahmatullah,brahmas_bull,annaladasu jeevanababu",Electronics,BluetoothSpeakers,Above Average
B07WKBD37W,"ESnipe Mart Worldwide Travel Adapter with Build in Dual USB Charger Ports with 125V 6A, 250V Protected Electrical Plug for Laptops, Cameras (White)",HomeImprovement|Electrical|Adapters&Multi-Outlets,425.0,999.0,57,4.0,2581.0,"Ehsan Ul Haq,Abhishek rajput,Nishant Malik,ruhi a.,jasmitha,Sunil W.,B. Bibo,monyag",Home Improvement ,Adapters&Multi-Outlets,Above Average
